link,brand,size,product_name,new_price,old_price
https://www.grailed.com/listings/67820744-hysteric-glamour-x-japanese-brand-x-rick-owens-y2k-spinash-poem?g_aidx=Listing_by_date_added_production&g_aqid=7dfd6d52d7bbc735e9a2f9488bbd477e,HYSTERIC GLAMOUR × JAPANESE BRAND × RICK OWENS,L,Y2K Spinash poem,107.0,
https://www.grailed.com/listings/67780764-hysteric-glamour-x-japanese-brand-x-rick-owens-hysteric-glamour?g_aidx=Listing_by_date_added_production&g_aqid=f1df3a832c30286790327e4487508bf4,HYSTERIC GLAMOUR × JAPANESE BRAND × RICK OWENS,M,Hysteric Glamour,110.0,
https://www.grailed.com/listings/67704029-rick-owens-x-veja-rick-owens-x-veja-runners?g_aidx=Listing_by_date_added_production&g_aqid=ce5ae5fc86762f52f4199f8b762a2ce9,RICK OWENS × VEJA,9,Rick Owens x Veja Runners,110.0,
https://www.grailed.com/listings/67749806-balenciaga-x-rick-owens-x-vetements-1-of-1-wide-leg-baggy-sweatpants-made-by-me?g_aidx=Listing_by_date_added_production&g_aqid=c35e4fb4733abbc2e27bde5ac4ea168d,BALENCIAGA × RICK OWENS × VETEMENTS,30,1 of 1 wide-leg baggy sweatpants made by me,111.0,
https://www.grailed.com/listings/67758131-rick-owens-fw13-plinth-neck-warmer?g_aidx=Listing_by_date_added_production&g_aqid=f831477b6d787b90fc5d82e5d260ad13,RICK OWENS,OS,FW13 'Plinth' Neck Warmer,111.0,
https://www.grailed.com/listings/67701962-rick-owens-ss19-babel-level-tank-top?g_aidx=Listing_by_date_added_production&g_aqid=ce5ae5fc86762f52f4199f8b762a2ce9,RICK OWENS,M,SS19 Babel Level Tank Top,112.0,
https://www.grailed.com/listings/67870645-if-six-was-nine-x-japanese-brand-x-rick-owens-y2k-algonquins?g_aidx=Listing_by_date_added_production&g_aqid=ff72756e329a2c322d86434d284b2f47,IF SIX WAS NINE × JAPANESE BRAND × RICK OWENS,S,Y2K Algonquins,115.0,
https://www.grailed.com/listings/67780738-hysteric-glamour-x-japanese-brand-x-rick-owens-hysteric-glamour?g_aidx=Listing_by_date_added_production&g_aqid=f1df3a832c30286790327e4487508bf4,HYSTERIC GLAMOUR × JAPANESE BRAND × RICK OWENS,S,Hysteric Glamour,115.0,
https://www.grailed.com/listings/67775286-if-six-was-nine-x-japanese-brand-x-rick-owens-roger-raw-rare-hodie?g_aidx=Listing_by_date_added_production&g_aqid=f831477b6d787b90fc5d82e5d260ad13,IF SIX WAS NINE × JAPANESE BRAND × RICK OWENS,M,Roger & raw rare hodie,117.0,
https://www.grailed.com/listings/67775195-comme-des-garcons-homme-plus-x-issey-miyake-x-rick-owens-comme-des-garcons-homme-plus?g_aidx=Listing_by_date_added_production&g_aqid=f831477b6d787b90fc5d82e5d260ad13,COMME DES GARCONS HOMME PLUS × ISSEY MIYAKE × RICK OWENS,M,Comme des Garcons homme plus,117.0,
https://www.grailed.com/listings/67728519-rick-owens-sheer-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=20c6721d7edaaffc0b2bd66406b113fa,RICK OWENS,L,Sheer t shirt,120.0,
https://www.grailed.com/listings/67781080-rick-owens-rick-owens-pants?g_aidx=Listing_by_date_added_production&g_aqid=f1df3a832c30286790327e4487508bf4,RICK OWENS,32,rick owens pants,120.0,
https://www.grailed.com/listings/67886722-rick-owens-2024-rick-owen-s-level-tee?g_aidx=Listing_by_date_added_production&g_aqid=91a4b4114cc6a5595bddc7c0319c8992,RICK OWENS,S,2024 Rick Owen’s Level Tee,120.0,
https://www.grailed.com/listings/67886774-rick-owens-2021-rick-owen-s-short-level-tee?g_aidx=Listing_by_date_added_production&g_aqid=91a4b4114cc6a5595bddc7c0319c8992,RICK OWENS,S,2021 Rick Owen’s Short Level Tee,120.0,
https://www.grailed.com/listings/67864012-rick-owens-rick-owens-tomy-cash-t-shirt-tee-black-logo?g_aidx=Listing_by_date_added_production&g_aqid=ff72756e329a2c322d86434d284b2f47,RICK OWENS,M,RICK OWENS TOMY CASH T Shirt Tee Black Logo,120.0,
https://www.grailed.com/listings/67813011-rick-owens-ss21-phlegethon-double-dylan-tee?g_aidx=Listing_by_date_added_production&g_aqid=cb99cbfc857fa6745a57d105670d0e41,RICK OWENS,S,SS21 'Phlegethon' Double Dylan Tee,123.0,
