link,brand,size,product_name,new_price,old_price,authenticated,rating,num_reviews,transaction_count,seller
https://www.grailed.com/listings/68436369-chrome-hearts-gag-n-chrome-hearts-p-glasses?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,os,gag’n chrome hearts (p) glasses,850,NaN,None,None,None,None,None
https://www.grailed.com/listings/68435848-chrome-hearts-chrome-hearts-brown-sweatpants-size-m?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,32,chrome hearts brown sweatpants size m,1700,NaN,None,None,None,None,None
https://www.grailed.com/listings/68435841-chrome-hearts-chrome-hearts-cemetery-print-horseshoe-sweatpants-size-l?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,33,chrome hearts cemetery print horseshoe sweatpants size l,1000,NaN,None,None,None,None,None
https://www.grailed.com/listings/68435433-chrome-hearts-thunderhead-chrome-hearts-sunglasses?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,os,thunderhead chrome hearts sunglasses,850,NaN,None,None,None,None,None
https://www.grailed.com/listings/68434186-chrome-hearts-vtg-chrome-hearts-distressed-tee?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,m,vtg chrome hearts distressed tee,500,NaN,None,None,None,None,None
https://www.grailed.com/listings/68432146-chrome-hearts-chrome-hearts-paris?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,l,chrome hearts “paris”,700,NaN,None,None,None,None,None
https://www.grailed.com/listings/68432696-chrome-hearts-chrome-hearts-baggins-glasses?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,os,chrome hearts - baggins glasses,2200,NaN,None,None,None,None,None
https://www.grailed.com/listings/68433542-chrome-hearts-x-vintage-chrome-hearts-sofa-bags-9x11-framed-poster?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts × vintage,os,chrome hearts sofa & bags 9x11 framed poster,55,NaN,None,None,None,None,None
https://www.grailed.com/listings/68433706-chrome-hearts-x-vintage-chrome-hearts-vintage-horseshoe-fuck-you-thermal-hoodie?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts × vintage,m,chrome hearts vintage horseshoe fuck you thermal hoodie,980,NaN,None,None,None,None,None
https://www.grailed.com/listings/68432838-chrome-hearts-chrome-hearts-baggins-a-glasses?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,os,chrome hearts baggins - a glasses,2200,NaN,None,None,None,None,None
https://www.grailed.com/listings/68432791-chrome-hearts-chrome-hearts-baggins-a-glasses?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,os,chrome hearts baggins - a glasses,2200,NaN,None,None,None,None,None
https://www.grailed.com/listings/68432767-chrome-hearts-chrome-hearts-baggins-a-glasses?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,os,chrome hearts baggins - a glasses,2200,NaN,None,None,None,None,None
https://www.grailed.com/listings/68432721-chrome-hearts-chrome-hearts-baggins-a-glasses?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,os,chrome hearts baggins - a glasses,2200,NaN,None,None,None,None,None
https://www.grailed.com/listings/68432677-chrome-hearts-chrome-hearts-baggins-glasses?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,os,chrome hearts baggins glasses,2200,NaN,None,None,None,None,None
https://www.grailed.com/listings/68432527-chrome-hearts-chrome-hearts-horseshoe-taipei-exclusive-tee?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,s,chrome hearts horseshoe taipei exclusive tee,199,NaN,None,None,None,None,None
https://www.grailed.com/listings/68404958-chrome-hearts-ch-silk-button-up?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,l,ch silk button up,5400,NaN,None,None,None,None,None
https://www.grailed.com/listings/68405143-chrome-hearts-vintage-chrome-hearts-embroidered-thermal-ls?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,l,vintage chrome hearts embroidered thermal ls,1200,NaN,None,None,None,None,None
https://www.grailed.com/listings/68405159-chrome-hearts-chrome-hearts-script-embroidered-hoodie?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,xl,chrome hearts script embroidered hoodie,1450,NaN,None,None,None,None,None
https://www.grailed.com/listings/68405382-chrome-hearts-chrome-hearts-blue-beanie-cap-online-exclusive?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,os,chrome hearts blue beanie cap online exclusive,480,NaN,None,None,None,None,None
https://www.grailed.com/listings/68405855-chrome-hearts-chrome-hearts-cashmere-hoodie?g_aidx=Listing_by_date_added_production&g_aqid=c00c305ad9860d83b8ebbe0fc79310d1,chrome hearts,s,chrome hearts cashmere hoodie,2360,NaN,None,None,None,None,None
