link,brand,size,product_name,new_price,old_price
https://www.grailed.com/listings/65058704-alpinestars-x-racing-x-vintage-alpinestars-big-logo-moto-racing-tee-street-style-y2k?g_aidx=Listing_by_date_added_production&g_aqid=8fea283cc0baa3dcde3464e948a87777,ALPINESTARS × RACING × VINTAGE,L,Alpinestars big logo Moto racing tee street style Y2K,28,
https://www.grailed.com/listings/63423299-alpinestars-alpinestars-womens-waterproof-ridge-v2-black-leather-moto?g_aidx=Listing_by_date_added_production&g_aqid=db160d650161fc21bfa9ab16dc333b87,ALPINESTARS,7,ALPINESTARS Womens Waterproof 'Ridge V2' Black Leather Moto,29,
https://www.grailed.com/listings/62056727-alpinestars-x-moto-x-streetwear-vintage-alpinestars-t-shirts-moto-racing-90s-y2k-streetwear?g_aidx=Listing_by_date_added_production&g_aqid=6ffaec2d7174863dd2bd15f6d677af4b,ALPINESTARS × MOTO × STREETWEAR,L,Vintage Alpinestars T-shirts Moto Racing 90s Y2K Streetwear,30,40.0
https://www.grailed.com/listings/64022681-alpinestars-x-avant-garde-x-racing-alpinestars-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=8fea283cc0baa3dcde3464e948a87777,ALPINESTARS × AVANT GARDE × RACING,M,ALPINESTARS T-SHIRT,30,
https://www.grailed.com/listings/66781038-alpinestars-x-racing-x-vintage-alpinestars-ohlins-suspension-racing-button-up-shirt-black?g_aidx=Listing_by_date_added_production&g_aqid=f6334909ebba1a01fc9ff2b24459874b,ALPINESTARS × RACING × VINTAGE,XXL,Alpinestars Ohlins Suspension Racing Button-Up Shirt Black,30,
https://www.grailed.com/listings/67437539-alpinestars-alpinestars-shorts?g_aidx=Listing_by_date_added_production&g_aqid=7f271a73954cc7df0356172e94f02334,ALPINESTARS,32,Alpinestars shorts,31,35.0
https://www.grailed.com/listings/64164677-alpinestars-x-streetwear-x-vintage-vintage-90s-alpinestars-washed-tee-made-in-usa-y2k-og?g_aidx=Listing_by_date_added_production&g_aqid=8fea283cc0baa3dcde3464e948a87777,ALPINESTARS × STREETWEAR × VINTAGE,XL,🌊Vintage 90s Alpinestars Washed Tee Made In USA Y2K OG 🌊,32,40.0
https://www.grailed.com/listings/67020189-alpinestars-x-streetwear-x-vintage-vintage-90s-alpinestars-washed-tee-made-in-usa-y2k-og?g_aidx=Listing_by_date_added_production&g_aqid=f6334909ebba1a01fc9ff2b24459874b,ALPINESTARS × STREETWEAR × VINTAGE,XL,🌊Vintage 90s Alpinestars Washed Tee Made In USA Y2K OG 🌊,32,
https://www.grailed.com/listings/60532699-alpinestars-x-streetwear-x-vintage-vintage-90s-alpinestars-washed-tee-made-in-usa-y2k-og?g_aidx=Listing_by_date_added_production&g_aqid=6ffaec2d7174863dd2bd15f6d677af4b,ALPINESTARS × STREETWEAR × VINTAGE,XL,🌊Vintage 90s Alpinestars Washed Tee Made In USA Y2K OG 🌊,32,40.0
https://www.grailed.com/listings/65800509-alpinestars-x-vintage-alpinestars-moto-racing-archive-00s?g_aidx=Listing_by_date_added_production&g_aqid=e63dc60782a701559cf80cf27d7a50f5,ALPINESTARS × VINTAGE,OS,Alpinestars Moto racing archive 00s,32,
https://www.grailed.com/listings/62328327-alpinestars-x-moto-x-racing-fox-racing-style-racing-moto-jersey-race-gear-scot?g_aidx=Listing_by_date_added_production&g_aqid=6ffaec2d7174863dd2bd15f6d677af4b,ALPINESTARS × MOTO × RACING,XL,🏍️Fox racing Style Racing Moto jersey Race Gear Scot,32,45.0
https://www.grailed.com/listings/61270713-alpinestars-x-moto-x-southpole-alpinestars-y2k-jacket?g_aidx=Listing_by_date_added_production&g_aqid=6ffaec2d7174863dd2bd15f6d677af4b,ALPINESTARS × MOTO × SOUTHPOLE,L,Alpinestars Y2K Jacket,32,40.0
https://www.grailed.com/listings/65284126-alpinestars-x-streetwear-x-vintage-vintage-90s-alpinestars-washed-tee-made-in-usa-y2k-og?g_aidx=Listing_by_date_added_production&g_aqid=e63dc60782a701559cf80cf27d7a50f5,ALPINESTARS × STREETWEAR × VINTAGE,XL,🌊Vintage 90s Alpinestars Washed Tee Made In USA Y2K OG 🌊,32,40.0
https://www.grailed.com/listings/62201706-alpinestars-x-streetwear-x-vintage-vintage-90s-alpinestars-washed-tee-made-in-usa-y2k-og?g_aidx=Listing_by_date_added_production&g_aqid=6ffaec2d7174863dd2bd15f6d677af4b,ALPINESTARS × STREETWEAR × VINTAGE,XL,🌊Vintage 90s Alpinestars Washed Tee Made In USA Y2K OG 🌊,32,40.0
https://www.grailed.com/listings/67616635-alpinestars-x-honda-alpinestars-honda-racing-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=7f271a73954cc7df0356172e94f02334,ALPINESTARS × HONDA,XL,Alpinestars Honda Racing T-Shirt,33,
https://www.grailed.com/listings/64755165-alpinestars-x-honda-alpinestars-honda-racing-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=8fea283cc0baa3dcde3464e948a87777,ALPINESTARS × HONDA,XL,Alpinestars Honda Racing T-Shirt,33,
https://www.grailed.com/listings/66860771-alpinestars-x-streetwear-x-vintage-alpines-cap-size-one-size?g_aidx=Listing_by_date_added_production&g_aqid=f6334909ebba1a01fc9ff2b24459874b,ALPINESTARS × STREETWEAR × VINTAGE,OS,Alpines cap Size:One Size,34,60.0
https://www.grailed.com/listings/61878283-alpinestars-x-streetwear-x-vintage-vintage-alpinestars-graphic-shirt-y2k-moto-fox?g_aidx=Listing_by_date_added_production&g_aqid=6ffaec2d7174863dd2bd15f6d677af4b,ALPINESTARS × STREETWEAR × VINTAGE,S,Vintage alpinestars graphic shirt y2k Moto fox,34,
https://www.grailed.com/listings/63598342-alpinestars-alpinestars-dual-gloves?g_aidx=Listing_by_date_added_production&g_aqid=db160d650161fc21bfa9ab16dc333b87,ALPINESTARS,OS,AlpineStars dual gloves,35,
https://www.grailed.com/listings/65032608-alpinestars-alpina-vintage-turbo-magnum-ski-snowboard-sunglasses-vintage?g_aidx=Listing_by_date_added_production&g_aqid=8fea283cc0baa3dcde3464e948a87777,ALPINESTARS,OS,ALPINA Vintage turbo magnum Ski Snowboard Sunglasses Vintage,35,
https://www.grailed.com/listings/67223378-alpinestars-x-moto-x-racing-vintage-00s-flexfit-alpinestars-cap-racing-moto?g_aidx=Listing_by_date_added_production&g_aqid=5bc330d7aaf4726721ca4b1d89efabad,ALPINESTARS × MOTO × RACING,OS,Vintage 00s Flexfit Alpinestars Cap Racing moto,35,
